lirik;emosi;judul;penyanyi
Dirimu peran utama di khayalku Mengganggu lamunanku Dirimu tiada henti mmembayangiku Di saat ku rapuh, terjatuh Tentangmu dan waktu yang tak bisa Sampaikan rinduku dalam penatku Karena perlahan ku percaya Semua indah pada waktunya Dan ku percaya Bukan ku tak ingin memiliki Walau kau tak pernah tahu kau lah yang selalu di hati Hanya ketakutan semakin dalam ku rasakan Biar lelah ini yang mengerti betapa dirimu selalu ku nanti Tiada kau sadari kau sangat berarti Hempasan rindu ini semakin ku nikmati Mimpi ini alasan bagiku untuk tetap bertahan Inikah cinta yang sesungguhnya Bukan ku tak ingin memiliki Walau kau tak pernah tau kau lah yang selalui di hati Hanya ketakutan semakin dalam ku rasakan Biar lelah ini yang mengerti betapa dirimu Biar lelah ini yang mengerti betapa dirimu Selalu ku nanti Selalu ku nanti Selalu ku nanti Selalu ku nanti;sedih;percaya;Golden Melody
Kita memang hanya bisa merencanakan Selebihnya kita hanya bisa berharap Misteri sebuah waktu yang tak pernah bisa Kita tahu ujungnya Tapi itu sempurna Membuat kita berusaha Yang terbaik yang kita bisa Seandainya tahu apa yang akan terjadi 'Ku pastikan kau takan bahagia Rahasia alam semesta memang sepantasnya Ada untuk manusia Dan itulah sempurna Membuat kita berusaha Yang terbaik yang kita bisa Dan itulah sempurna Membuat kita berusaha Yang terbaik yang kita bisa Berdoalah kepadaNya Berusaha sebisa kita Dan kelak niscaya ada hasilnya Syukuri pahami itulah yang Yang terindah Yang terbaik Berdoalah kepadaNya Berusaha sebisa kita Dan kelak niscaya ada hasilnya Syukuri pahami itulah yang Yang terindah Yang terbaik;sedih;Sempurna;Sitokotis
Distopia mewarnai mimpi buruk kita Distopia akankah berubah jadi nyata Manusia kian terbiasa Dengan jentera ke mana saja Manusia kian terbiasa Dengan mesin juga jalan raya Utopia akankah menghilang tanpa atah Utopia akankah hilang karna budaya Manusia telah terbiasa Dengan emisi gas rumah kaca Manusia telah terbiasa Dengan udara dan polusinya Ini tentang manusia yang bergantung pada laju roda Kemanapun perginya takan sempurna tanpa berkendara Ini tentang budaya yang bergantung pada sang jentera Melupakan petaka yang kan melanda jika tak berubah;bersemangat;Budaya Jentera;Mostis
Memandang semua dengan sudut yang sama Tatapanya hanya bermakna benar salah Manilai semua dengan angka yang sama Angka terendah atau angka tertinggi Tak mau tau jika tak sejalan Kan diinjak hingga titik penghabisan Tak peduli apa kata sejarah Terus menjarah hingga berdarah  Tak sadar tlah terjebak Aaaa Dalam sisi gelap paham yang membuat Ruam pada ruang hidup ini Mendebat tak menyerah Aaaa Dalam sisi gelap paham yang membuat Reputasi perdamaian menjadi basi Berobat pada paham paska Setelah semua dirasa berbeda Smakin terasa resah Semakin sesak merampas otak Berkaca pada paham paska Selepas beranjak setelah tersendak Semakin terasa gerah Semakin lebam luka paham yang terus digaram Menyamakan kehidupan dengan baris tulisan Berhenti pahami seiring dengan tanda baca Titik berhenti, seru membentak, tanya mendebat Melupakan alinea di rak buku berbeda;marah;Sisi Gelap Paham;Mostis
Berburu dan meramu untuk jadi makmur Tanpa ragu, t'rus menggancu lahan baru Atas nama kepentingan bersama Nyatanya timpang, tak ada adil di sana  Belum saatnya berhenti untuk mengatakan Pada stakeholder tentang semua disorder Belantara bukan tempat untuk gali harta Agraria pertanian bukan permainan Ah-ah-ha-ah Ah-ah-ha-ah (Hu-uh, hu-uh, hu-uh-uh) (Hu-uh, hu-uh, hu-uh-uh) (Hu-uh, hu-uh, hu-uh-uh) (Hu-uh, hu-uh, hu-uh-uh) Berburu dan meramu untuk jadi makmur Tanpa ragu, t'rus menggancu lahan baru Atas nama kepentingan bersama Nyatanya timpang, tak ada adil di sana Belum saatnya berhenti untuk mengatakan Pada stakeholder tentang semua disorder Belantara bukan tempat untuk gali harta Agraria pertanian bukan permainan  Belum saatnya berhenti untuk mengatakan Pada stakeholder tentang semua disorder Belantara bukan tempat untuk gali harta Agraria pertanian bukan permainan (Hu-uh, hu-uh, hu-uh-uh) (Hu-uh, hu-uh, hu-uh);bersemangat;Penyembah berhala abad 21;Mostis
Kumulai hari dengan secangkir kopi Bersama hangatnya sinar mentari pagi Perlahan meninggi, menerangi dunia Dari ujung cakrawala Memulai langkah dengan percaya diri Yakin hal indah sudahlah menanti Membuka lembar baru hidupku Hapuskan perih luka dalam hatiku Seiring berjalan melewati semua halangan Melepaskan beban Dan kini langkah yang baru Akan kumulai dalam hidupku Berawal dari titik terendah Perlahan menggapai mimpi Takkan pernah menyerah Meski hujan badai mencoba menahan Tetap tegak berdiri Percaya pelangi datang saat badai berhenti Bukan hal mudah untuk menggapai mimpi Ujian silih berganti takkan berhenti Takkan menyerah sampai di sini Kuatkan langkahku, yakinkan hatiku Dan kini langkah yang baru Akan kumulai dalam hidupku Berawal dari titik terendah Perlahan menggapai mimpi Takkan pernah menyerah Meski hujan badai mencoba menahan Tetap tegak berdiri Percaya pelangi datang saat badai berhenti Hu-uh Dan kini langkah yang baru Akan kumulai dalam hidupku Berawal dari titik terendah lahan menggapai mimpi Takkan pernah menyerah Meski hujan badai mencoba menahan Tetap tegak berdiri Percaya pelangi datang saat badai berhenti Na-na-na-na-na (na-na) Na-na-na-na-na Tetap tegak berdiri Percaya pelangi datang saat badai berhenti, eh-yeah Percaya pelangi datang saat badai berhenti;bersemangat;Langkah Baru;Golden Melody
Sinar mentari bangunkanku dari mimpi indah Yang ku alami malam tadi tentang indahnya dunia Burung-burung bernyanyi seiring ku melangkahkan kaki Membawa untuk menikmati hari yang indah Pam parararam aku bernyanyi Pam parararam aku bahagia Pam parararam aku bernyanyi Pam parararam aku bahagia  Sambut aku mentari hangatkan jiwa ini Menyatu dengan alam bebaskan semua beban Burung-burung bernyanyi seiring ku melangkahkan kaki Membawa untuk menikmati hari yang indah Pam parararam aku bernyanyi Pam parararam aku bahagia Pam parararam aku bernyanyi Pam parararam aku bahagia Sambut aku mentari hangatkan jiwa ini Menyatu dengan alam bebaskan semua beban Daun-daun menari seiring ku berlari Menikmati indahnya dunia Burung-burung bernyanyi seiring ku menari Bebas menikmati alam ini;bahagia;Hari yang Indah;Golden Melody
Jarak tak pernah mutlak bagi mereka yang bergerak Mengikuti laju arak-arakan dunia Yang katanya untuk menggapai sejahtera Tapi di ujung dunia mana saja tak kuasa Menghilangkan jarak, menciptakan sekat Jauhkan yang dekat Seiring dengan kepala menunduk, jari menari-nari Tak peduli apa yang ada di sebelahnya Serta mata yang terpaku pada gawai terbaru Teknologinya baru, fitur semakin maju Pengguna makin rancu Inikah dunia yang sunyi di tengah Ramainya manusia? Peringatan dini s'belum bencana melanda Jangan sampai lepaskan gawai dari genggaman Di mana pun itu dan kapan pun itu Kar'na kita terperangkap dunia tanpa batas Seiring kepala menunduk, jari menari-nari Tak peduli apa yang ada di sebelahnya Serta mata yang terpaku pada gawai terbaru Teknologinya baru, fitur semakin maju Seiring kepala menunduk, jari menari-nari Tak peduli apa yang ada di sebelahnya Serta mata yang terpaku pada gawai terbaru Teknologinya baru, fitur semakin maju Pengguna makin rancu Inikah dunia yang sunyi di tengah  ramainya manusia? Seiring kepala menunduk (inikah dunia), jari menari-nari Tak peduli apa yang ada di sebelahnya (yang sunyi di tengah ramainya) (Manusia?) Serta mata yang terpaku pada gawai terbaru Teknologinya baru, fitur semakin maju Pengguna makin rancu;sedih;Perangkap tanpa batas;Mostis
Satu per satu peluru menembusku Melewati lubang samping kepalaku Bersarang di balik tulang tengkoraku Berpijar meleburkan kewarasan Repertoar sempurna direncana Opera teater panggung sandiwara Lengkap dengan semua skenario Bintang iklan hingga musisi pun ada Satu pertunjukan dimainkan Setelah casting demokrasi ada Semua menentukan pilihanya Terjebak dalam oposisi binernya Ini yang bagus itu pasti yang buruk Ini yang bersih itu butuh dicuci Ini yang benar itu yang kurang aja Aku yang pintar pasti dia yang... Melupakan keragaman kedamaian Di semesta raya Yang tak pernah selalu sama Buka mata lihat semua yang ada;marah;Casting Demokrasi;Mostis
Mengikuti, perkataan orang yang terbiasa Menjadi lebah hitam dunia Dihisapnya, yang diperlunya dan menyebarkan Sari bunga yang sudah dijajah Melalui, pesta raksasa memilih manusia Menjadi lebah hitam dunia Dihapusnya, manusia dari hak menentukan Pada siapa ia percaya Hegemoni smakin menjadi Estuari hitam putih hilang, tersisa kini hanya gelap Mimpi buruk distopia, hilang semua utopia, Bergelayut dalam rana, salindia masa depan, kita;sedih;Hegemoni;Mostis
